date,download_count
2021-08-03T18:03:01+00:00,1
2021-08-09T00:58:08+00:00,2
2021-08-16T00:56:34+00:00,3
2021-08-23T00:52:46+00:00,4
2021-08-30T00:56:01+00:00,4
2021-09-06T01:03:45+00:00,4
2021-09-13T01:00:50+00:00,4
2021-09-20T01:02:44+00:00,5
2021-09-27T00:59:23+00:00,5
2021-10-04T01:05:08+00:00,6
2021-10-11T01:02:17+00:00,7
2021-10-18T01:04:48+00:00,7
2021-10-25T01:02:58+00:00,8
2021-11-01T18:40:05+00:00,8
2021-11-08T01:00:15+00:00,8
2021-11-15T01:00:04+00:00,8
2021-11-22T01:01:33+00:00,9
2021-11-29T01:00:47+00:00,11
2021-12-06T01:03:51+00:00,11
2021-12-13T01:03:11+00:00,12
2021-12-20T01:05:15+00:00,12
2021-12-27T01:04:52+00:00,12
2022-01-03T01:05:17+00:00,12
2022-01-10T01:05:08+00:00,12
2022-01-17T01:07:41+00:00,12
2022-01-24T01:03:40+00:00,12
2022-01-31T01:01:25+00:00,12
2022-02-07T01:03:33+00:00,12
2022-02-14T01:02:32+00:00,15
2022-02-21T01:03:37+00:00,15
2022-02-28T01:11:37+00:00,17
2022-03-07T01:14:52+00:00,17
2022-03-14T01:19:10+00:00,17
2022-03-21T01:26:09+00:00,17
2022-03-28T01:41:25+00:00,17
2022-04-04T01:41:15+00:00,17
2022-04-11T01:40:50+00:00,18
2022-04-18T01:53:38+00:00,18
2022-04-25T01:42:15+00:00,20
2022-05-02T01:55:49+00:00,20
2022-05-09T01:51:59+00:00,20
2022-05-16T01:42:16+00:00,21
2022-05-23T01:47:55+00:00,21
2022-05-30T01:55:03+00:00,22
2022-06-06T01:51:16+00:00,22
2022-06-13T01:59:58+00:00,22
2022-06-20T01:53:06+00:00,22
2022-06-27T02:00:17+00:00,23
2022-07-04T02:08:42+00:00,23
2022-07-11T02:00:03+00:00,23
2022-07-18T02:04:30+00:00,23
2022-07-25T02:00:26+00:00,23
